deepResearchRank,full_name,owner,url,domain,language,stars,forks,technicalValue,personalRelevance,priorityScore,isUTAS,isAI,isData,isGIS,isActive,isArchived,isStudent,isProductionReady,created_at,pushed_at,techStack,chineseDescription,recommendation
139,T3A2Group/client,T3A2Group,https://github.com/T3A2Group/client,Web / App,JavaScript,1,5,45,26,34,false,false,false,false,false,false,false,true,2022-07-12T23:31:11Z,2022-08-04T07:15:31Z,JavaScript;JavaScript / Web,塔斯马尼亚度假村 MERN 项目的前端代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
140,43South/Tasmanian-Councils,43South,https://github.com/43South/Tasmanian-Councils,Government / Public Data,Unknown,0,0,10,62,34,false,false,false,false,false,false,false,false,2021-09-30T10:16:30Z,2021-09-30T10:16:30Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
141,SofiaDL03/Airbnb_Tasmania,SofiaDL03,https://github.com/SofiaDL03/Airbnb_Tasmania,Data Analysis,Jupyter Notebook,0,0,34,44,34,false,false,true,false,false,false,false,false,2023-11-07T09:39:11Z,2023-11-30T15:35:10Z,Jupyter Notebook;Python,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
142,cintiaiha/Tasmanian_Macrocystis_genotyping,cintiaiha,https://github.com/cintiaiha/Tasmanian_Macrocystis_genotyping,Marine Science,HTML,0,0,22,53,34,false,false,false,false,false,false,false,false,2022-05-05T02:05:16Z,2022-10-06T03:16:24Z,HTML,塔斯马尼亚巨藻基因组和分型分析脚本。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
143,equivalentideas/tas_lg_directory_councillors,equivalentideas,https://github.com/equivalentideas/tas_lg_directory_councillors,Government / Public Data,Ruby,0,1,12,62,34,false,false,false,false,false,false,false,false,2016-05-06T06:10:10Z,2016-05-08T05:33:05Z,Ruby,抓取塔斯马尼亚地方议会规划申请数据的项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
144,zhiyi-zy/airbnb-viz,zhiyi-zy,https://github.com/zhiyi-zy/airbnb-viz,Data Analysis,Jupyter Notebook,0,0,34,44,34,false,false,true,false,false,false,false,false,2023-07-10T05:36:03Z,2024-05-07T15:01:31Z,Jupyter Notebook;Python,分析或可视化塔斯马尼亚 Airbnb 房源数据的项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
145,dentalimplanttasmania/dental-implants-tasmania12,dentalimplanttasmania,https://github.com/dentalimplanttasmania/dental-implants-tasmania12,Web / App,HTML,0,0,29,46,33,false,false,false,false,true,false,false,false,2025-08-30T10:39:37Z,2025-08-30T10:40:47Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
146,dentalimplanttasmania/dental-implants-tasmania1,dentalimplanttasmania,https://github.com/dentalimplanttasmania/dental-implants-tasmania1,Web / App,HTML,0,0,29,46,33,false,false,false,false,true,false,false,false,2025-09-25T05:38:19Z,2025-09-25T05:38:54Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
147,lbesnard/River_Height_Tasmania,lbesnard,https://github.com/lbesnard/River_Height_Tasmania,Data Analysis,Python,0,0,36,32,33,false,false,true,false,false,false,false,true,2014-05-15T07:01:49Z,2016-02-15T00:05:28Z,Python,塔斯马尼亚河流水位或可划船状态通知工具。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
148,dentalimplanttasmania/dental-implants-tasmania,dentalimplanttasmania,https://github.com/dentalimplanttasmania/dental-implants-tasmania,Web / App,HTML,0,0,29,46,33,false,false,false,false,true,false,false,false,2025-08-30T11:48:13Z,2025-08-30T11:48:26Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
149,anilbhattaraitoronto/everest,anilbhattaraitoronto,https://github.com/anilbhattaraitoronto/everest,Data Analysis,HTML,0,0,36,32,33,false,false,true,false,false,false,false,true,2018-12-30T05:43:54Z,2019-01-01T07:26:33Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
150,vidyajay1/Farm-Guide-App,vidyajay1,https://github.com/vidyajay1/Farm-Guide-App,Web / App,Swift,1,0,28,38,33,false,false,false,false,false,false,false,true,2019-09-01T08:03:06Z,2020-09-03T22:35:04Z,Swift,塔斯马尼亚本地商业、生活服务或市场类项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
151,T3A2Group/server,T3A2Group,https://github.com/T3A2Group/server,Web / App,JavaScript,0,4,41,26,32,false,false,false,false,false,false,false,true,2022-07-12T23:43:56Z,2022-08-04T07:19:06Z,JavaScript;JavaScript / Web,塔斯马尼亚度假村 MERN 项目的后端代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
152,marcodejongh/ferry-checker,marcodejongh,https://github.com/marcodejongh/ferry-checker,Web / App,JavaScript,0,0,22,50,32,false,false,false,false,false,false,false,false,2023-03-01T04:48:40Z,2023-03-01T23:31:53Z,JavaScript;JavaScript / Web,检查或跟踪前往塔斯马尼亚渡轮信息的项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
153,asbrown1/Purify,asbrown1,https://github.com/asbrown1/Purify,Education / UTAS,C#,0,0,10,50,32,true,false,false,false,false,false,false,false,2016-08-29T04:29:25Z,2016-10-14T12:44:08Z,C#,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
154,chirayu12/RAP,chirayu12,https://github.com/chirayu12/RAP,Education / UTAS,Unknown,0,0,10,50,32,true,false,false,false,false,false,false,false,2020-11-11T05:47:38Z,2020-11-11T05:48:11Z,,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
155,dmarco1976/TazAgents,dmarco1976,https://github.com/dmarco1976/TazAgents,Local Business / Tourism,Python,0,0,36,39,32,false,false,false,false,true,false,false,false,2026-01-04T18:31:35Z,2026-01-07T23:20:40Z,Python,塔斯马尼亚房地产、房价、贷款或地产展示相关项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
156,namedummy568-stack/Indigenous_Studies_Research,namedummy568-stack,https://github.com/namedummy568-stack/Indigenous_Studies_Research,Research Projects,Unknown,0,0,29,44,32,false,false,false,false,true,false,false,false,2025-09-21T12:03:20Z,2025-09-21T12:03:59Z,,塔斯马尼亚历史、文化、社区或人文资料项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
157,KatieVandorou/Thesis-Code,KatieVandorou,https://github.com/KatieVandorou/Thesis-Code,Education / UTAS,Python,0,0,10,50,32,true,false,false,false,false,false,false,false,2017-11-12T04:24:45Z,2020-05-07T00:21:13Z,Python,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
158,janekerry123/UTas-K7I-s2-2020,janekerry123,https://github.com/janekerry123/UTas-K7I-s2-2020,Education / UTAS,Unknown,0,0,10,50,32,true,false,false,false,false,false,false,false,2020-06-28T15:55:39Z,2020-06-29T08:49:59Z,,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
159,acatling/eucalyptus-tasmania-project,acatling,https://github.com/acatling/eucalyptus-tasmania-project,Other Tasmania,R,0,0,22,48,31,false,false,false,false,false,false,false,false,2022-08-01T06:11:22Z,2023-11-01T03:17:09Z,R,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
160,WangQuanmeng/Conservation-Prioritization-Tasmania,WangQuanmeng,https://github.com/WangQuanmeng/Conservation-Prioritization-Tasmania,Research Projects,Unknown,0,0,22,48,31,false,false,false,false,false,false,false,false,2022-09-12T08:29:13Z,2022-09-12T09:27:11Z,,塔斯马尼亚保护优先级、保护规划或生态保护相关项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
161,ConservationPrioritization/Tasmania-Conservation-Prioritization,ConservationPrioritization,https://github.com/ConservationPrioritization/Tasmania-Conservation-Prioritization,Research Projects,Unknown,0,0,22,48,31,false,false,false,false,false,false,false,false,2022-09-12T11:22:21Z,2022-10-01T04:38:47Z,,塔斯马尼亚保护优先级、保护规划或生态保护相关项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
162,AlexJPaton/BodyDimensions,AlexJPaton,https://github.com/AlexJPaton/BodyDimensions,Research Projects,Unknown,0,0,22,48,31,false,false,false,false,false,false,false,false,2024-02-12T10:49:26Z,2024-02-12T10:51:20Z,,塔斯马尼亚生态、气候、海洋、森林或本土物种相关研究项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
163,TrustEval/CoTrRank_Trust_Evaluation,TrustEval,https://github.com/TrustEval/CoTrRank_Trust_Evaluation,Data Analysis,Unknown,4,4,36,32,30,false,false,true,false,false,false,false,false,2020-07-14T09:38:31Z,2020-07-14T10:36:35Z,,论文使用的塔斯马尼亚 Twitter 数据集与信任评估代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
164,LeLeGazze/Tasmania,LeLeGazze,https://github.com/LeLeGazze/Tasmania,Student Projects,HTML,0,0,36,25,30,true,false,false,false,true,false,true,false,2026-04-28T06:22:53Z,2026-04-28T10:47:20Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
165,darkmovertas/tas-motorcycle-dkt,darkmovertas,https://github.com/darkmovertas/tas-motorcycle-dkt,Web / App,HTML,0,0,36,34,30,false,false,false,false,true,false,false,false,2026-04-03T22:10:05Z,2026-04-14T08:57:10Z,HTML,塔斯马尼亚摩托车驾驶知识测试练习项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
166,prameshKc/Total-Hair-Beauty-Tasmania,prameshKc,https://github.com/prameshKc/Total-Hair-Beauty-Tasmania,Web / App,TypeScript,0,0,36,34,30,false,false,false,false,true,false,false,false,2026-01-04T08:38:20Z,2026-01-04T08:38:39Z,TypeScript;JavaScript / Web,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
167,markoinh/Roam-Tasmania,markoinh,https://github.com/markoinh/Roam-Tasmania,Web / App,HTML,0,0,36,34,30,false,false,false,false,true,false,false,false,2026-04-18T10:34:47Z,2026-04-18T10:37:04Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
168,markoinh/RoamTasmania,markoinh,https://github.com/markoinh/RoamTasmania,Web / App,JavaScript,0,0,36,34,30,false,false,false,false,true,false,false,false,2026-04-18T09:52:46Z,2026-04-18T10:06:18Z,JavaScript;JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
169,sarikshyaadhikari/explore-tasmania,sarikshyaadhikari,https://github.com/sarikshyaadhikari/explore-tasmania,Web / App,HTML,0,0,36,34,30,false,false,false,false,true,false,false,false,2026-04-29T07:07:17Z,2026-04-29T12:14:33Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
170,dachshundpuppy/miniature-dachshund-puppies-tasmania,dachshundpuppy,https://github.com/dachshundpuppy/miniature-dachshund-puppies-tasmania,Web / App,HTML,0,0,36,34,30,false,false,false,false,true,false,false,false,2025-11-17T15:50:27Z,2025-11-17T16:03:19Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
171,tasmaniachinese/tasmaniachinese.github.io,tasmaniachinese,https://github.com/tasmaniachinese/tasmaniachinese.github.io,Web / App,TypeScript,0,0,36,34,30,false,false,false,false,true,false,false,false,2025-10-02T09:37:10Z,2026-01-23T10:19:01Z,TypeScript;JavaScript / Web,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
172,luuDuyDinh/WildSafe_Tasmania,luuDuyDinh,https://github.com/luuDuyDinh/WildSafe_Tasmania,Web / App,JavaScript,0,0,36,34,30,false,false,false,false,true,false,false,false,2026-01-26T12:43:10Z,2026-01-26T12:43:17Z,JavaScript;JavaScript / Web,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
173,olya457/HobartSecretsTasmaniaCounty,olya457,https://github.com/olya457/HobartSecretsTasmaniaCounty,Web / App,TypeScript,0,0,36,34,30,false,false,false,false,true,false,false,false,2025-12-19T19:29:29Z,2025-12-22T22:50:28Z,TypeScript;JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
174,Amilwickz/Ember_Project_University_of_Tasmania,Amilwickz,https://github.com/Amilwickz/Ember_Project_University_of_Tasmania,Web / App,Unknown,0,0,36,26,30,false,false,false,false,false,false,false,true,2023-05-19T00:22:11Z,2023-05-19T00:22:12Z,Python,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
175,Maksym-Tykhonenko/HobartSecretsTasmaniaCountyOlya,Maksym-Tykhonenko,https://github.com/Maksym-Tykhonenko/HobartSecretsTasmaniaCountyOlya,Web / App,TypeScript,0,0,36,34,30,false,false,false,false,true,false,false,false,2026-01-08T13:14:36Z,2026-01-08T14:22:24Z,TypeScript;JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
176,cpunj/CitizenTas,cpunj,https://github.com/cpunj/CitizenTas,Web / App,Dart,2,0,30,26,29,false,false,false,false,false,false,false,true,2020-04-21T22:55:30Z,2020-04-22T00:41:01Z,Dart,Citizen Tasmania 应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
177,Amino207/Tasmanian-grain-storage-network,Amino207,https://github.com/Amino207/Tasmanian-grain-storage-network,Other Tasmania,Unknown,0,0,36,32,29,false,false,false,false,true,false,false,false,2026-03-31T22:00:38Z,2026-03-31T23:01:15Z,,塔斯马尼亚本地商业、生活服务或市场类项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
178,girish1993/ETS-vs-ARIMA-for-Retail-Data-for-Tasmania---Business-Forecasting,girish1993,https://github.com/girish1993/ETS-vs-ARIMA-for-Retail-Data-for-Tasmania---Business-Forecasting,Data Analysis,R,0,0,22,44,29,false,false,true,false,false,false,false,false,2019-08-05T09:40:30Z,2019-08-05T09:58:15Z,R,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
179,sage3648/KIT107-Programming,sage3648,https://github.com/sage3648/KIT107-Programming,Student Projects,C,1,0,14,41,29,true,false,false,false,false,false,true,false,2019-06-20T10:12:44Z,2019-06-20T10:32:56Z,C,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
180,GLAM-Workbench/libraries-tasmania,GLAM-Workbench,https://github.com/GLAM-Workbench/libraries-tasmania,Data Analysis,Jupyter Notebook,0,0,34,32,28,false,false,true,false,false,false,false,false,2022-09-15T04:21:45Z,2022-09-15T06:39:57Z,Jupyter Notebook;Python,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
181,stanley0212/TasEatsServer,stanley0212,https://github.com/stanley0212/TasEatsServer,Local Business / Tourism,Java,0,0,24,31,28,false,false,false,false,false,false,false,true,2021-04-03T14:22:53Z,2021-04-03T14:24:22Z,Java,面向塔斯马尼亚的外卖/餐饮配送应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
182,dennisroethig/tasmania-touring.com,dennisroethig,https://github.com/dennisroethig/tasmania-touring.com,Web / App,HTML,0,0,10,50,28,false,false,false,false,false,false,false,false,2013-08-15T21:34:35Z,2016-02-28T05:09:10Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
183,tommyslik/QANT0065_TourismTasmania,tommyslik,https://github.com/tommyslik/QANT0065_TourismTasmania,Web / App,CSS,0,0,10,50,28,false,false,false,false,false,false,false,false,2016-08-15T08:02:18Z,2017-02-28T01:15:08Z,CSS,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
184,GITenberg/Wayside-Sketches-in-Tasmania_66275,GITenberg,https://github.com/GITenberg/Wayside-Sketches-in-Tasmania_66275,Web / App,HTML,0,0,10,50,28,false,false,false,false,false,false,false,false,2021-09-13T22:13:01Z,2021-09-14T03:43:50Z,HTML,来自 Project Gutenberg 的塔斯马尼亚历史/旅行文本项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
185,TheMartianLife/Honours-Presentation,TheMartianLife,https://github.com/TheMartianLife/Honours-Presentation,Education / UTAS,Unknown,0,0,0,50,28,true,false,false,false,false,true,false,false,2019-05-24T03:43:49Z,2019-10-20T07:53:58Z,,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：仓库已归档，主要作为历史或参考资料。
186,GITenberg/Under-the-Southern-Cross--13-Or-Travels-in-Australia-Tasmania-New-Zealand-Samoa-and-Other-Pac__34037,GITenberg,https://github.com/GITenberg/Under-the-Southern-Cross--13-Or-Travels-in-Australia-Tasmania-New-Zealand-Samoa-and-Other-Pac__34037,Web / App,HTML,0,0,10,50,28,false,false,false,false,false,false,false,false,2014-08-01T19:28:23Z,2018-10-17T01:35:55Z,HTML,来自 Project Gutenberg 的塔斯马尼亚历史/旅行文本项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
187,HammerOfMelkor/TasmanianHighlandsGolfClub,HammerOfMelkor,https://github.com/HammerOfMelkor/TasmanianHighlandsGolfClub,Web / App,HTML,0,0,29,34,27,false,false,false,false,true,false,false,false,2023-09-14T06:32:47Z,2024-11-19T01:23:23Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
188,prameshKc/NEST,prameshKc,https://github.com/prameshKc/NEST,Web / App,TypeScript,0,0,29,34,27,false,false,false,false,true,false,false,false,2025-08-12T11:44:08Z,2025-08-12T11:51:01Z,TypeScript;JavaScript / Web,塔斯马尼亚尼泊尔社区组织相关项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
189,nonfictionalsomm/Tasmania-Interactive,nonfictionalsomm,https://github.com/nonfictionalsomm/Tasmania-Interactive,Web / App,HTML,0,0,29,34,27,false,false,false,false,true,false,false,false,2025-10-18T01:46:33Z,2025-10-18T01:46:43Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
190,sllnycrfst/discover-tasmania,sllnycrfst,https://github.com/sllnycrfst/discover-tasmania,Web / App,JavaScript,0,0,29,34,27,false,false,false,false,true,false,false,false,2025-07-08T12:07:52Z,2025-07-08T12:38:13Z,JavaScript;JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
191,RedThreadGrp/tasmanian_treasures,RedThreadGrp,https://github.com/RedThreadGrp/tasmanian_treasures,Web / App,JavaScript,0,0,29,34,27,false,false,false,false,true,false,false,false,2025-08-25T16:30:51Z,2025-08-29T03:04:36Z,JavaScript;JavaScript / Web,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
192,wragge/chinese-tasmania,wragge,https://github.com/wragge/chinese-tasmania,Web / App,HTML,0,0,29,34,27,false,false,false,false,true,false,false,false,2023-04-28T02:07:13Z,2025-08-08T07:42:51Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
193,peterfz30/gliding-tasmania-roster,peterfz30,https://github.com/peterfz30/gliding-tasmania-roster,Web / App,HTML,0,0,29,34,27,false,false,false,false,true,false,false,false,2025-08-22T02:54:17Z,2025-08-22T02:57:37Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
194,DepyScrewball/1967-Tasmanian-fires,DepyScrewball,https://github.com/DepyScrewball/1967-Tasmanian-fires,Other Tasmania,Unknown,0,0,10,48,27,false,false,false,false,false,false,false,false,2014-08-11T01:08:46Z,2014-08-11T01:08:46Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
195,530530530/North-Tasmania-Fishing-Charters,530530530,https://github.com/530530530/North-Tasmania-Fishing-Charters,Web / App,HTML,0,0,29,34,27,false,false,false,false,true,false,false,false,2025-05-14T09:56:57Z,2025-05-15T09:19:29Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
196,Koen-vdl/SARS-CoV-2-Tasmania-Nextstrain-build,Koen-vdl,https://github.com/Koen-vdl/SARS-CoV-2-Tasmania-Nextstrain-build,Web / App,Unknown,0,0,29,34,27,false,false,false,false,true,false,false,false,2025-07-22T03:34:21Z,2025-10-28T01:26:43Z,JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
197,kimberleywarmsprings/kimberleywarmsprings,kimberleywarmsprings,https://github.com/kimberleywarmsprings/kimberleywarmsprings,Web / App,HTML,0,0,29,34,27,false,false,false,false,true,false,false,false,2025-08-08T06:27:59Z,2025-08-20T13:13:53Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
198,Cantina-Latina/site,Cantina-Latina,https://github.com/Cantina-Latina/site,Web / App,JavaScript,0,0,29,34,27,false,false,false,false,true,false,false,false,2022-07-28T08:49:37Z,2024-09-25T01:08:03Z,JavaScript;JavaScript / Web;React,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
199,sage3648/KIT101-Programming-Fundamentals,sage3648,https://github.com/sage3648/KIT101-Programming-Fundamentals,Student Projects,Java,0,0,10,41,27,true,false,false,false,false,false,true,false,2019-06-20T10:26:57Z,2019-06-20T10:31:41Z,Java,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
200,grimley517/grimley517.github.io,grimley517,https://github.com/grimley517/grimley517.github.io,Web / App,CSS,0,0,29,34,27,false,false,false,false,true,false,false,false,2014-03-23T14:34:49Z,2025-07-17T16:59:20Z,CSS,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
201,sage3648/KIT202-Secure-Web-Programming,sage3648,https://github.com/sage3648/KIT202-Secure-Web-Programming,Student Projects,PHP,0,0,10,41,27,true,false,false,false,false,false,true,false,2019-06-20T10:34:09Z,2019-06-20T10:41:59Z,PHP,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
202,fredpaw/tasmania,fredpaw,https://github.com/fredpaw/tasmania,Web / App,PHP,0,0,24,26,26,false,false,false,false,false,false,false,true,2015-08-28T04:07:51Z,2016-09-02T05:51:20Z,PHP,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
203,johnnyroodt/RT3D,johnnyroodt,https://github.com/johnnyroodt/RT3D,Education / UTAS,Unknown,0,0,22,36,26,false,false,false,false,false,false,false,false,2023-10-07T05:17:11Z,2023-10-07T05:17:13Z,,Arts Tasmania 艺术资助或霍巴特艺术项目相关资料。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
204,530530530/North-Tasmania-Fishing,530530530,https://github.com/530530530/North-Tasmania-Fishing,Local Business / Tourism,Unknown,0,0,29,27,24,false,false,false,false,true,false,false,false,2025-05-14T10:02:12Z,2025-05-14T11:11:24Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
205,savindalak/UV-Index-analysis-for-Tasmania-Kingston-,savindalak,https://github.com/savindalak/UV-Index-analysis-for-Tasmania-Kingston-,Data Analysis,Jupyter Notebook,0,0,22,32,24,false,false,true,false,false,false,false,false,2020-02-08T11:55:36Z,2020-03-23T07:10:32Z,Jupyter Notebook;Python,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
206,Hobart-Hostel-Accommodation/Tony-Guerra,Hobart-Hostel-Accommodation,https://github.com/Hobart-Hostel-Accommodation/Tony-Guerra,Local Business / Tourism,Unknown,0,0,10,43,24,false,false,false,false,false,false,false,false,2016-02-03T06:36:19Z,2016-02-03T06:36:19Z,,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
207,fengjianmenglab/Code-and-data-availability-for-niche-and-range-dynamics-ofTasmanian-blue-gum,fengjianmenglab,https://github.com/fengjianmenglab/Code-and-data-availability-for-niche-and-range-dynamics-ofTasmanian-blue-gum,Data Analysis,R,0,0,22,32,24,false,false,true,false,false,false,false,false,2022-01-08T12:14:59Z,2022-01-08T12:17:17Z,R,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
208,Eric0420/TSG,Eric0420,https://github.com/Eric0420/TSG,Local Business / Tourism,Kotlin,0,0,22,31,23,false,false,false,false,false,false,false,false,2022-05-04T13:57:25Z,2022-10-02T00:49:21Z,Kotlin,塔斯马尼亚本地商业、生活服务或市场类项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
